data,valor,id_vendedor
2026-05-07,24564,650
2025-08-23,31773,795
2026-02-04,52433,762
2025-12-25,2165,120
2026-05-09,27556,409
2025-06-09,78894,768
2026-01-25,25639,914
2026-04-09,97008,988
2025-11-08,50980,792
2025-06-30,87381,820
2025-06-25,31889,472
2025-11-26,38838,711
2025-11-15,44376,234
2025-08-30,29782,583
2025-09-12,20824,117
2026-04-08,63669,616
2025-12-05,30721,880
2026-04-30,29473,681
2026-01-30,14367,997
2025-11-03,23426,703
2025-10-23,67278,915
2025-10-25,17796,657
2025-10-13,25536,371
2025-12-19,4501,82
2025-11-07,20195,475
2025-05-20,652,402
2025-07-22,50806,609
2026-05-11,33335,894
2025-07-02,81796,873
2026-02-11,77406,60
2025-08-04,28667,300
2025-10-02,71978,124
2025-10-17,12172,583
2025-10-25,11917,695
2026-03-01,77828,224
2025-12-13,42694,760
2025-06-26,53335,927
2026-01-22,87231,460
2025-06-29,22756,548
2025-06-20,15151,320
2025-07-25,44995,310
2026-04-04,60397,311
2026-03-02,70416,219
2026-04-26,7326,272
2025-07-06,46599,146
2026-05-06,75230,18
2026-04-08,32101,362
2025-08-07,65209,783
2025-06-22,71623,74
2026-03-07,77116,772
2025-05-27,95453,250
2026-04-22,45456,55
2025-12-31,81168,941
2025-10-23,67308,90
2026-01-01,96353,122
2025-08-17,9693,168
2025-07-09,40084,555
2025-08-23,8624,327
2025-09-19,30654,790
2026-03-07,38492,161
2026-04-23,93254,780
2025-11-02,96988,111
2026-04-13,35717,457
2025-07-14,52252,486
2025-07-14,182,386
2025-07-15,20088,384
2025-07-30,33675,285
2025-08-31,61003,373
2025-08-03,4037,919
2025-11-12,92622,726
2025-06-15,9573,628
2025-09-28,3603,100
2025-07-07,69845,770
2026-01-27,49669,636
2025-11-03,72131,281
2025-07-10,16788,865
2026-03-13,53305,33
2026-01-14,13317,721
2025-06-14,23973,611
2026-04-11,80435,180
2025-07-10,95275,467
2025-07-23,92294,447
2026-01-12,96841,790
2025-08-14,54106,637
2026-05-09,47489,196
2025-07-21,70592,393
2026-04-16,74948,923
2025-06-12,14131,128
2026-01-13,70049,637
2026-03-02,71771,258
2025-08-10,66284,979
2025-10-13,17711,768
2025-06-15,66559,782
2025-06-01,4270,281
2026-03-24,69414,729
2025-11-12,92566,920
2025-06-17,79939,517
2025-10-22,4008,611
2026-01-06,35403,674
2025-08-14,46212,414
2026-04-23,32406,65
2026-03-28,81858,930
2025-06-18,19013,129
2025-12-03,89299,133
2026-01-11,1083,306
2026-05-05,66808,188
2025-07-08,83861,637
2026-03-21,8572,508
2025-10-31,81216,852
2026-01-23,87552,937
2025-08-02,43274,729
2025-09-29,68035,18
2025-10-23,13105,350
2026-05-11,15530,960
2026-02-02,46384,6
2026-04-17,53408,935
2025-06-26,33162,196
2026-02-06,31820,606
2026-02-14,83370,280
2025-07-18,29101,69
2025-05-28,53346,379
2025-10-19,49217,643
2025-05-21,11563,716
2026-04-04,81363,315
2025-05-21,10248,703
2025-09-05,67127,245
2025-06-07,46608,369
2025-06-27,26484,769
2025-09-07,82759,822
2025-10-07,18549,842
2026-03-14,51291,956
2025-11-05,13994,782
2025-07-14,17908,787
2026-04-27,81856,302
2026-05-09,4050,26
2025-10-22,63722,455
2025-05-22,1713,273
2026-01-21,5527,436
2026-02-26,86868,337
2025-10-31,77468,73
2025-07-16,29382,783
2026-04-07,49747,65
2026-05-11,77024,999
2026-01-09,84068,458
2026-02-18,54831,480
2025-06-28,65496,77
2026-05-13,69319,83
2025-09-28,45687,965
2025-06-03,43297,65
2025-08-13,14278,493
2025-10-17,81144,582
2026-02-01,79393,368
2026-04-09,31576,897
2026-04-05,60849,864
2025-08-17,47758,609
2025-06-23,46175,444
2025-07-08,7236,354
2025-07-17,78201,860
2025-10-03,8090,754
2026-01-21,42074,95
2025-08-13,78255,243
2025-10-06,53057,576
2025-06-06,8610,235
2025-10-30,81860,527
2025-06-18,9772,460
2026-01-10,12596,674
2025-12-26,5822,178
2026-02-27,86139,304
2026-01-04,87706,654
2026-04-04,77688,680
2025-07-27,19987,797
2025-08-21,71895,734
2025-12-06,48335,920
2026-04-21,1151,246
2026-02-10,81081,35
2025-09-16,8488,473
2025-11-20,72362,901
2026-01-21,18255,787
2025-12-19,65639,786
2025-12-04,41829,571
2026-04-18,3231,440
2026-01-29,7431,476
2026-05-09,96550,294
2026-02-22,30864,145
2026-04-13,78763,178
2025-10-12,64114,211
2025-07-16,90475,162
2025-06-16,15401,946
2026-01-01,89849,135
2025-06-30,86001,359
2025-10-04,93694,416
2025-08-10,81442,352
2025-06-15,60567,758
2025-11-07,88765,229
2025-07-09,34439,215
2025-08-12,44119,978
2026-03-21,16567,553
2025-05-31,74420,837
2025-09-23,79833,617
2025-10-30,21838,130
2025-11-04,4682,186
2025-10-30,51344,869
2025-12-11,54678,736
2026-01-26,82745,735
2026-02-23,71261,960
2025-11-16,13747,286
2026-05-18,45709,629
2025-07-18,23710,804
2026-04-16,86983,376
2025-06-10,43488,643
2025-08-16,85340,973
2025-08-11,57395,847
2025-08-29,15877,543
2025-06-09,96783,751
2025-08-12,20368,71
2025-05-28,16075,300
2026-01-10,40552,540
2026-01-16,62626,699
2026-04-23,58753,789
2026-02-27,28324,751
2025-08-12,36052,904
2025-08-18,33429,322
2025-10-15,83994,647
2026-01-14,97884,401
2025-10-11,48647,289
2025-08-17,53706,32
2025-08-02,38221,366
2025-12-27,54373,954
2026-03-24,98980,741
2025-09-19,93260,913
2025-09-15,12484,291
2025-08-31,67859,336
2025-07-10,12631,646
2025-09-02,2782,559
2025-05-31,8535,843
2026-04-25,92784,840
2026-03-06,2271,162
2025-08-05,70364,649
2025-09-23,97235,887
2026-03-08,30391,371
2025-06-11,14826,437
2026-02-04,16947,119
2025-07-02,38059,784
2026-03-22,79827,993
2026-02-23,77172,676
2025-06-21,82741,878
2025-10-30,25568,260
2025-12-25,83877,219
2025-12-26,872,50
2025-08-01,26498,718
2025-09-27,33313,38
2025-12-21,27465,978
2025-07-04,8148,25
2025-06-05,15423,863
2025-12-13,14163,666
2026-01-11,63069,42
2025-10-01,69459,497
2025-09-06,68108,173
2025-08-29,26645,965
2025-07-30,79841,217
2025-07-03,25850,768
2026-03-06,15725,36
2025-10-09,62239,357
2026-05-11,73180,888
2025-10-06,44877,486
2025-12-24,66872,499
2026-04-21,94628,286
2026-05-05,87544,274
2026-01-13,23947,212
2026-04-28,86881,432
2025-08-30,4459,609
2025-06-28,96566,221
2026-03-17,77967,564
2025-12-02,37872,393
2025-11-09,96105,29
2026-04-14,31093,588
2025-07-03,35124,486
2025-09-09,4527,624
2025-12-23,40082,827
2026-05-08,11570,104
2025-12-08,66613,712
2025-07-27,81130,413
2025-12-30,37652,408
2026-02-19,7123,937
2026-04-01,71702,697
2026-01-09,29080,446
2025-10-26,88507,993
2026-05-12,22635,581
2026-05-01,35160,516
2026-03-09,54782,792
2026-02-24,17272,851
2025-09-05,11809,505
2025-06-18,6084,175
2026-01-03,36977,766
2026-05-19,27679,636
2025-08-09,48344,91
2026-01-07,19628,391
2026-03-08,16063,202
2025-07-10,42829,606
2025-12-17,74787,77
2026-03-12,52375,49
2025-10-21,76973,214
2025-06-29,85814,536
2026-05-11,71592,224
2025-11-05,80095,422
2025-07-21,90430,452
2026-04-08,31446,720
2025-12-31,9123,665
2025-06-06,35326,746
2026-01-06,51507,819
2025-10-13,22682,206
2025-05-20,83863,383
2025-11-15,44784,912
2025-07-06,13832,190
2025-05-24,56510,89
2025-11-14,50511,425
2026-04-27,22225,951
2025-12-02,89255,274
2025-12-05,49146,758
2026-03-20,87906,565
2025-10-11,25967,867
2026-02-09,82092,517
2025-10-03,43345,412
2025-06-04,75723,671
2025-10-17,86792,570
2026-05-16,15760,932
2025-07-15,75758,482
